sample,band,unit,rater,SE1a,SE1b,SE1c,SE2,SE3,SE4,SE5,N,L,T,H,R,F,E,P,M
38,5P,RF,B,5,3,12,6,2,2,5,0,0,2,0,5,0,3,3,3
39,5P,RF,B,6,3,16,7,2,4,5,0,0,3,0,4,0,3,3,3
40,5P,RF,R1,4,3,7,5,3,4,4,0,0,3,0,5,0,3,3,3
40,5P,RF,R2,6,4,14,7,3,5,5,0,0,3,0,4,0,3,3,3
40,5P,RF,R3,6,3,14,6,3,4,5,0,0,3,0,5,0,3,3,3

# ==========================================================================
# 주석 절 — 아래는 데이터가 아니다 (CSV 파서에서 '#' 이하를 버릴 것)
# ==========================================================================
#
# [0] 원천·범위
#   R1/R2/R3 = bank/measurements/채점-재현성-12문-R{1,2,3}.md (각 12문)
#   A        = bank/measurements/채점-주표본-A.md   (표본 2·3·4·7·8·9·10·13·14·15·16·17·19·20)
#   B        = bank/measurements/채점-주표본-B.md   (표본 23·24·25·27·28·29·30·31·33·35·36·37·38·39)
#   band·unit 정본 = bank/measurements/학평-층화표본-40문-v2.md §2·§4
#   재현성 S01~S12 → 주표본 #1·5·6·11·12·18·21·22·26·32·34·40 (지시 매핑 · v2 §4 와 일치 확인)
#   총 64 행 = 12문 x 3 채점자(36) + 28문 x 1 채점자(28)
#   🔴 재채점·보정·추정 없음. 원천에 적힌 값을 그대로 옮겼다.
#
# [1] 결측 현황 (빈칸 = 「모름」 · 0 과 구별)
#   SE3  1 행 — sample 16 / rater A. 원천 §3 「판정 불가」: 세울 미지가 없어 정방향으로 보이나
#                「최대·최소를 주는 배치 찾기」가 역방향인지 규정 없음 (0↔2). 값 셀이 '판정 불가'
#   SE4  2 행 — sample 17 / rater A. 원천 §3 「판정 불가」: a∈{1,3} 갈래 중 a=1 이 한 줄로 끝나
#                「독립 계산을 요하는 갈래」인지 불명 (0↔2). 값 셀이 '판정 불가'
#              sample 22 / rater R2. 원천 §3 「판정 불가」: 「합이 최대가 되도록 큰 것부터 시도」가
#                분기인지 표적 탐색인지 미규정 (분기=3 / 탐색=1). 값 셀이 '판정 불가'
#   L    1 행 — sample 18 / rater R3. 원천 §3 항목 13: 빈칸(과정 제시)형 (가)~(라)가 「소문항」인지
#                명세에 없음. 원천이 '잠정 2' 를 병기했으나 「값으로 확정하지 않는다」고 명시 → 빈칸
#   그 외 축(SE1a·SE1b·SE1c·SE2·SE5·N·T·H·R·F·E·P·M) — 결측 0 행. 64/64 전부 값이 있다
#   🔴 결측 총계 4 행-셀 (64 행 x 17 값칸 = 1088 칸 중 4 칸)
#
# [2] 🔴 어느 파일에서 어떤 축을 못 찾았는가 (조용히 비우지 않음)
#   - SE6 : 5개 파일 전부 「전 슬롯 미판정」(대조 사전 미구축). 요청 헤더에 SE6 열이 없어 CSV 에는
#           싣지 않았다. 만약 필요하면 64 행 전부 빈칸이 된다
#   - depth_score : 5개 파일 전부 「이번 채점 범위 밖」으로 제외. 요청 헤더에 없어 미수록
#   - 요청 헤더의 17 축(SE1a~SE5 · N~P · M)은 5개 파일 모두에 실재했다. 「파일에 없어서 비운 열」은 없다
#   - 단 SE1b/SE1c 는 A·B·R1·R2·R3 가 서로 다른 운용 규칙으로 산출했다 → [4] 참조. 값은 그대로 옮겼다
#
# [3] 잠정치·범위 표기 목록 (값은 옮겼으나 원천이 흔들림을 명시한 자리)
#   sample 7  / A  / SE1a=2, SE1c=5 — 🔴 본문은 '잠정 2'·'잠정 5' 로 값을 내고 composite 에 포함했으나,
#                                     같은 파일 §3 「판정 불가」 표에도 1↔2 / 2↔5 범위로 올라 있다.
#                                     값 셀에 단일 값이 있고 합산에 쓰였으므로 값을 옮겼다 ([5] ① 참조)
#   sample 12 / R2 / SE1a=4       — 절댓값·이차부등식을 다른 도구로 셈. 같은 코드 EQ-06 으로 묶으면 3
#   sample 18 / R2 / L=0, H=0     — 빈칸형을 소문항 아님·답 노출 아님으로 처리. 실질 종속으로 보면 L=3
#   sample 18 / R3 / L            — 판정 불가 (잠정 2). 빈칸 처리 → [1]
#   sample 18 / R1 / L=2          — 「소문항 아니라 유도 과정 빈칸이라 3 은 주지 않는다」는 자체 판단
#   sample 21 / R1 / SE4=2, sample 12 / R1 / SE4=3 — 축퇴 갈래(a=0)를 독립 갈래로 셀지에 따라 ±1
#   sample 23 / B  / SE4=1        — 원천 §5 잠정치 3건
#   sample 34 / R1 / SE4=2        — 임계 2종을 합산할지 최댓값으로 볼지
#   sample 34 / R2 / SE4=4        — R2-d(분기 지점 합산) 규칙. 「최대」 규약이면 3
#   sample 34 / R3 / SE5=4        — 세 변의 같은 확인을 묶으면 2
#   sample 37 / B  / SE4=3        — 원천 §5 잠정치 3건
#   sample 39 / B  / SE4=4        — 원천 §5 잠정치 3건
#   sample 40 / R2 / SE1c=14      — R2-c(전 도구 수준값 총합). 「단원별 최고값의 합」이면 9
#   sample 40 / R3 / SE3=3        — 역산 중첩을 1단위로 묶으면 1
#   sample 5  / R3 / SE1a=4       — 「최단 경로 원리」와 「점-원 최단거리」를 따로 세면 5
#   sample 5·11·26 / R3 / H=1     — 그림이 경로·배치를 보이는 것이 「답 노출」인지 (0 도 정당하다고 원천이 명시)
#   R1·R2·R3 SE1c 전 12행         — 「최고 수준값의 합」 vs 「전 도구 수준값 총합」 두 독법이 갈림.
#                                   R1·R2·R3 모두 후자(총합)를 택했다고 각 파일 §4 에 기록
#
# [4] 원천 파일 간 형식 차이 · 매핑 방식
#   ① v5.3 표 형태
#      R1·R2·B : 문항마다 「N|L|T|H|R|F|E|P|M」 한 줄 표
#      R3      : 문항 본문은 같은 형태이나 §2.2 요약표가 「N|L|2L|M|2M|T|2T|R|F|E|P|2P|H」 로
#                가중치를 펼친 형태다. 🔴 2L·2M·2T·2P 는 가중값이므로 버리고 **본문 블록의 기본값**을 옮겼다
#      A       : v5.3 8축이 SE 축과 같은 「축|값|근거」 표에 이어 붙어 있다 (별도 표 없음).
#                §2.2 요약표로 교차 확인해 전부 일치
#   ② SE1c 산출 규칙이 채점자마다 다르다 (같은 열에 이질적 정의가 섞여 있음 — 값은 그대로 옮겼다)
#      R1 : 도구 코드 번호를 학습 순서의 대리로 삼아 1~3
#      R2 : R2-c 「전 도구 수준값의 총합」
#      R3 : 도구마다 1~3 총합 + 🔴 **미등재 도구에 일괄 3**
#      A  : §0 에 코드별 수준값을 사전에 못박음 (GM-01·02=1 · ST-05·06·07=3 등)
#      B  : 「1=중학·단원 초반 / 2=중반 / 3=후반·심화」 서술 규칙
#   ③ SE1b 의 미등재 도구 단원 배정도 갈린다
#      R1·R3 : 단원 밖 도구를 별도 1단원으로 센다   R2 : R2-b 「가장 가까운 단원에 귀속」
#      A     : 규정 없음을 §4-⑤ 로 남기고 문항마다 판단   B : 「중학 정수/평면도형」을 별도 단원으로 센다
#   ④ composite 열 이름이 다르다 — R1 `composite_SE` · R2 `SE 합*` · R3 `SE comp` ·
#      A `SE_a/SE_b/SE_c` (SE1 후보 3벌) · B `SE composite`. 요청 헤더에 없어 CSV 에 싣지 않았다
#   ⑤ 표본 번호 표기 — A 는 「표본 02」 처럼 0 채움, B 는 「표본 23」. 둘 다 정수로 정규화했다
#   ⑥ 밴드 표기 — 원천은 「★ 4 프리미엄」·「★ 5 프리미엄」. 요청 스펙대로 4P·5P 로 축약.
#      R1·R2·A 는 밴드를 아예 적지 않았고(맹검 채점), R3·B 만 밴드 열이 있다.
#      🔴 따라서 band 열은 전 행을 v2 정본(§2·§4)에서 가져왔다 — R3·B 표기와 대조해 불일치 0
#   ⑦ unit 열 — 원천 중 A·B·R3 만 단원을 적었고 R1·R2 는 없다.
#      전 행을 v2 정본 §2 의 「단원」 열에서 가져왔다 (CM2- 접두를 떼고 GM/ST/FN/RF 로 표기)
#   ⑧ 「판정 불가」 표기 문구가 파일마다 다르다 — R2 `🔴 판정 불가` · A `판정 불가` ·
#      R3 `🔴 판정 불가 (잠정 2)` · 요약표에서는 `—` 또는 `🔴불가`. 모두 빈칸으로 통일
#
# [5] 🔴 옮기면서 내린 판단 (마스터 확인 필요)
#   ① sample 7 / A 의 SE1a·SE1c 는 본문에 단일 잠정값(2·5)이 있고 그 값으로 composite 을 냈으므로
#      **값을 옮겼다**. 반면 sample 16 SE3 · sample 17 SE4 는 값 셀 자체가 '판정 불가' 이고
#      원천이 composite 에서 제외했으므로 **빈칸**으로 두었다. 즉 판단 기준은
#      「값 셀에 수치가 적혀 있고 합산에 쓰였는가」다. 다른 기준을 원하시면 7 행도 빈칸 처리 가능
#   ② sample 18 / R3 의 L 은 '잠정 2' 가 병기돼 있으나 원천이 「값으로 확정하지 않는다」고 못박아
#      빈칸으로 두고 [3] 에 남겼다
