게시물ID,제목,게시일,원래 카테고리,규칙 기반 주제 분류,URL,추출본문 문자수,본문 이미지 요소수,본문 확인
224390666780,중계중·상명중·중평중 2학기 시험은 언제 시작될까요? | 중계동 수학학원 수학의기술,2026. 8. 26.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224390666780,2259,13,추출
224389440096,"개학 후 첫 주, 고등부 수학은 이렇게 이어지고 있습니다! | 중계동 수학학원 수학의기술",2026. 8. 25.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224389440096,2388,14,추출
224385844462,"새 학기가 시작된 8월, 중등부는 이렇게 공부하고 있습니다!  | 중계동 수학학원 수학의기술",2026. 8. 24.,은행사거리점(직접 게시),수업·학습관리,https://blog.naver.com/skills_in_math2/224385844462,3443,36,추출
224385638798,내신이 부족해도 수시를 포기하면 안 되는 이유! | 중계동 수학학원 수학의기술,2026. 8. 23.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224385638798,2295,13,추출
224384466839,"현재 고1이 치르는 2029학년도 수능, 무엇이 달라질까요? | 중계동 수학학원 수학의기술",2026. 8. 22.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224384466839,2125,13,추출
224385549364,"2학기 수학 준비, 수학의기술 SESSION3에서 시작합니다! | 중계동 수학학원 수학의기술",2026. 8. 21.,문의폭주개강소식,모집·개강,https://blog.naver.com/skills_in_math2/224385549364,2644,16,추출
224383141968,"2027 경희대 논술, 정답보다 풀이과정이 중요한 이유! | 중계동 수학학원 수학의기술",2026. 8. 20.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224383141968,2605,14,추출
224383328086,"중계동 수학학원 여름특강 후기, 여름방학 동안 만든 수학 학습 흐름, 2학기까지 이어갑니다!",2026. 8. 19.,은행사거리점(직접 게시),학습성과·후기,https://blog.naver.com/skills_in_math2/224383328086,2400,19,추출
224382251161,"여름방학 끝자락, 중등부 수학은 이렇게 이어졌습니다 | 중계동 수학학원 수학의기술",2026. 8. 18.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224382251161,2576,30,추출
224378467448,"공통수학2부터 미적분까지, 고등부의 8월 셋째 주 진도현황! | 중계동 수학학원 수학의기술",2026. 8. 17.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224378467448,2092,11,추출
224378375481,"학종 면접 준비, 실전 모의면접은 이렇게 연습해보세요! | 중계동 수학학원 수학의기술",2026. 8. 16.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224378375481,3378,16,추출
224377671153,오답노트 열심히 쓰는데 왜 같은 문제를 또 틀릴까요? | 중계동 수학학원 수학의기술,2026. 8. 15.,은행사거리점(직접 게시),수업·학습관리,https://blog.naver.com/skills_in_math2/224377671153,2533,15,추출
224377505640,하계중·중계중·을지중 학생들의 7월 순공시간은? | 중계동 수학학원 수학의기술 7월 순공랭킹 TOP10,2026. 8. 14.,은행사거리점(직접 게시),학습성과·후기,https://blog.naver.com/skills_in_math2/224377505640,2778,13,추출
224376455550,"고1부터 고3까지, 한 주 한 주 쌓아가는 수학 공부 | 중계동 수학학원 수학의기술",2026. 8. 13.,은행사거리점(직접 게시),수업·학습관리,https://blog.naver.com/skills_in_math2/224376455550,2225,15,추출
224376300094,"개학이 가까워진 8월, 중등부의 수학 학습 기록 | 중계동 수학학원 수학의기술",2026. 8. 12.,은행사거리점(직접 게시),수업·학습관리,https://blog.naver.com/skills_in_math2/224376300094,3405,35,추출
224375078868,중학생도 참여할 수 있는 서울시교육청 2026 이중언어 페스티벌 추가 모집! | 중계동 수학학원 수학의기술,2026. 8. 11.,은행사거리점(직접 게시),모집·개강,https://blog.naver.com/skills_in_math2/224375078868,2345,14,추출
224374013259,"2027학년도 수시 1:1 상담, 노원구 학생이라면 확인하세요! | 중계동 수학학원 수학의기술",2026. 8. 10.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224374013259,3611,15,추출
224371248229,"2027학년도 중학교 배정, 재배정은 언제 어떻게 진행될까요? | 중계동 수학학원 수학의기술",2026. 8. 9.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224371248229,2828,15,추출
224371123358,2027학년도 수능 원서접수 전 꼭 확인해야 할 일정과 준비사항! | 중계동 수학학원 수학의기술,2026. 8. 8.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224371123358,2399,14,추출
224370962667,"2027학년도 수시 준비, 서울시교육청 1:1 상담 이용 방법 | 중계동 수학학원 수학의기술",2026. 8. 7.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224370962667,2171,12,추출
224370183907,"전교 1등부터 종합 1등급까지, 청원여고·대진여고·혜성여고 학생들의 기말고사 성적 결과 공개! | 중계동 수학학원 수학의기술",2026. 8. 6.,은행사거리점(직접 게시),시험분석·대비,https://blog.naver.com/skills_in_math2/224370183907,2694,17,추출
224367924730,"고1부터 고3까지, 저마다의 목표를 향해 나아간 한 주 | 중계동 수학학원 8월 1주차 고등부 진도현황",2026. 8. 5.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224367924730,2522,17,추출
224367829931,도형의 닮음과 원주각을 공부한 중등부 8월 첫째 주 진도현황! | 중계동 수학학원 수학의기술,2026. 8. 4.,은행사거리점(직접 게시),수업·학습관리,https://blog.naver.com/skills_in_math2/224367829931,3655,35,추출
224361551178,2027학년도 수능 준비! 일정과 수학 출제 범위부터 확인해요 | 중계동 수학학원 수학의기술,2026. 8. 3.,은행사거리점(직접 게시),시험분석·대비,https://blog.naver.com/skills_in_math2/224361551178,2368,13,추출
224364188284,2022개정교육과정 적용 시기와 고등 수학 과목별 변화 정리! | 중계동 수학학원 수학의기술,2026. 8. 2.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224364188284,2320,14,추출
224364127105,2022 개정 교육과정에 맞춰 중등 수학 흐름 살펴보기! | 중계동 수학학원 수학의기술,2026. 8. 1.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224364127105,2248,13,추출
224363922647,"2022개정교육과정, 초등 수학은 어떻게 달라졌을까요? | 중계동 수학학원 수학의기술",2026. 7. 31.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224363922647,2477,14,추출
224362834574,"사회탐구 응시자 69%, 2027학년도 수시에는 어떤 변화가 있을까? | 중계동 수학학원 수학의기술",2026. 7. 30.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224362834574,2150,13,추출
224360582090,내신 5등급제에서 고등학교 선택은 어떻게 달라질까요? |  중계동 수학학원 수학의기술,2026. 7. 29.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224360582090,1941,12,추출
224359385204,중계동 수학학원 수학의기술 고등부는 7월 4주차에 어떤 내용을 공부했을까요?,2026. 7. 28.,은행사거리점(직접 게시),수업·학습관리,https://blog.naver.com/skills_in_math2/224359385204,2297,14,추출
224359191283,방학에 수학수업은 어떻게 이어졌을까요? | 중계동 수학학원 7월 4주차 중등부 진도현황,2026. 7. 27.,은행사거리점(직접 게시),수업·학습관리,https://blog.naver.com/skills_in_math2/224359191283,3990,35,추출
224355388155,"대진고·대진여고·선덕고 고3 수학 교과 편제, 수능 준비는 어떻게 달라질까요? | 중계동 수학학원 수학의기술",2026. 7. 23.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224355388155,2760,14,추출
224354398703,"대수부터 미적분까지, 고2 수학은 이렇게 달라집니다! | 고2 교과편제 발표! 중계동 수학학원 수학의기술",2026. 7. 22.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224354398703,2699,15,추출
224352202957,고등 수학은 다음 단원으로 넘어가기 전 점검이 필요합니다! | 중계동 수학학원 7월 3주차 고등부 진도현황,2026. 7. 20.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224352202957,2452,12,추출
224352101551,"중등 수학 심화 문제 풀이, 풀이 과정 점검이 중요한 이유! | 중계동 수학학원 7월 3주차 중등부 진도현황",2026. 7. 20.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224352101551,2947,29,추출
224348313454,중계동 수학학원 진도와 공부 습관을 함께 점검하는 수학의기술 여름방학 계획,2026. 7. 16.,은행사거리점(직접 게시),수업·학습관리,https://blog.naver.com/skills_in_math2/224348313454,1825,10,추출
224345405331,"기말고사 이후 고등 수학, 다음 단원 준비는 어떻게 해야 할까요? | 중계동 수학학원 7월 2주차 고등부 진도현황",2026. 7. 13.,은행사거리점(직접 게시),시험분석·대비,https://blog.naver.com/skills_in_math2/224345405331,2450,13,추출
224345321276,다음 과정으로 넘어가기 전 점검할 것 | 중계동 수학학원 7월 2주차 중등부 진도현황,2026. 7. 13.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224345321276,3413,32,추출
224342833914,2026년 용화여자고등학교 1학년 1학기 기말고사 분석,2026. 7. 10.,은행사거리점(직접 게시),시험분석·대비,https://blog.naver.com/skills_in_math2/224342833914,4136,19,추출
224342636893,"중계동 수학학원, 연립방정식부터 일차함수까지, 중2 기말고사 핵심 분석!",2026. 7. 10.,은행사거리점(직접 게시),시험분석·대비,https://blog.naver.com/skills_in_math2/224342636893,4479,22,추출
224341516007,중3 1학기 기말고사 분석｜을지중·중계중·불암중·상명중 수학 시험에서 확인한 포인트,2026. 7. 9.,은행사거리점(직접 게시),시험분석·대비,https://blog.naver.com/skills_in_math2/224341516007,3802,18,추출
224340605314,"중계동 수학학원, 기말고사 직전보강은 어떻게 진행될까요? | 7월 1주차 고등부 진도현황",2026. 7. 8.,은행사거리점(직접 게시),시험분석·대비,https://blog.naver.com/skills_in_math2/224340605314,2485,12,추출
224340434246,"중계동 수학학원, 기말고사 이후 어떤 수업이 진행될까요? | 7월 1주차 중등부 진도현황",2026. 7. 8.,은행사거리점(직접 게시),시험분석·대비,https://blog.naver.com/skills_in_math2/224340434246,3389,28,추출
224339422552,상명중학교 3학년 1학기 기말고사 분석｜후반부 이차함수가 점수를 갈랐다!,2026. 7. 7.,중등기출분석,시험분석·대비,https://blog.naver.com/skills_in_math2/224339422552,4480,24,추출
224339365693,상명중학교 2학년 1학기 기말고사 분석｜90점은 가능했지만 만점은~?,2026. 7. 7.,중등기출분석,시험분석·대비,https://blog.naver.com/skills_in_math2/224339365693,3968,22,추출
224339269862,여름방학 때 제대로 끝내자!｜중계동 수학학원 중3-1 Jump Up 하계특강,2026. 7. 7.,은행사거리점(직접 게시),모집·개강,https://blog.naver.com/skills_in_math2/224339269862,4762,21,추출
224337331315,대진고 1학년 1학기 기말고사 수학 분석｜EBS 연계는 높았지만 계산력과 시간 관리가 핵심!,2026. 7. 5.,은행사거리점(직접 게시),시험분석·대비,https://blog.naver.com/skills_in_math2/224337331315,5278,26,추출
224337226514,"혜성여고 1학년 1학기 기말고사 분석｜1등급 컷 80.5점, 변별력은 어디서 갈렸을까?",2026. 7. 5.,은행사거리점(직접 게시),시험분석·대비,https://blog.naver.com/skills_in_math2/224337226514,4868,24,추출
224336139893,2026 불암중학교 2학년 1학기 기말고사 수학 시험지 분석,2026. 7. 4.,중등기출분석,시험분석·대비,https://blog.naver.com/skills_in_math2/224336139893,8124,27,추출
224336057258,정확한 조건 해석과 감점 없는 서술형을 위한 내신대비 포인트ㅣ2026 청원여자고등학교 1학년 1학기 기말고사 분석,2026. 7. 4.,은행사거리점(직접 게시),시험분석·대비,https://blog.naver.com/skills_in_math2/224336057258,4735,20,추출
224335632563,2026 불암중학교 3학년 1학기 기말고사 수학 시험지 분석,2026. 7. 3.,중등기출분석,시험분석·대비,https://blog.naver.com/skills_in_math2/224335632563,2832,24,추출
224335439295,2026 중계중학교 3학년 1학기 기말고사 수학 시험지 분석,2026. 7. 3.,중등기출분석,시험분석·대비,https://blog.naver.com/skills_in_math2/224335439295,3567,20,추출
224334587885,2026 중계중학교 2학년 1학기 기말고사 수학 시험지 분석,2026. 7. 2.,중등기출분석,시험분석·대비,https://blog.naver.com/skills_in_math2/224334587885,3653,21,추출
224333681317,2026 을지중학교 2학년 1학기 기말고사 수학 시험지 분석,2026. 7. 2.,중등기출분석,시험분석·대비,https://blog.naver.com/skills_in_math2/224333681317,3540,24,추출
224333637966,2026 을지중학교 3학년 1학기 기말고사 수학 시험지 분석,2026. 7. 2.,중등기출분석,시험분석·대비,https://blog.naver.com/skills_in_math2/224333637966,3644,20,추출
224333602669,"2026 선덕고 1학년 기말고사, 1등급은 몇 점?｜공통수학1 주요문항 완전 분석",2026. 7. 2.,은행사거리점 고등반,시험분석·대비,https://blog.naver.com/skills_in_math2/224333602669,4021,26,추출
224333313124,확통 개념부터 문제 적용까지 | 중계동 수학학원 수학의기술 확률과통계 여름방학 특강,2026. 7. 1.,문의폭주개강소식,모집·개강,https://blog.naver.com/skills_in_math2/224333313124,1952,12,추출
224333246039,고1 수학의 흐름을 잡는 여름방학 | 중계동 수학학원 수학의기술 공통수학 특강,2026. 7. 1.,문의폭주개강소식,모집·개강,https://blog.naver.com/skills_in_math2/224333246039,2069,12,추출
224333117820,중2 함수가 어렵다면? 중계동 수학학원 수학의기술 고급대수 여름방학특강,2026. 7. 1.,문의폭주개강소식,모집·개강,https://blog.naver.com/skills_in_math2/224333117820,1995,12,추출
224332348858,2026 이화여대 수시등급 논술 교과 이화여대학교 수시컷 등급컷 입결 컷 지균 최저 반영 면접,2026. 6. 30.,대입분석,교육·입시정보,https://blog.naver.com/skills_in_math2/224332348858,2604,16,추출
224332348783,2026 이화여대 수시 이화여대학교 수시등급 입결 수시컷 학생부종합전형 학종 모집요강,2026. 6. 30.,대입분석,교육·입시정보,https://blog.naver.com/skills_in_math2/224332348783,4916,17,추출
224332345344,2026 서울시립대 수시등급 논술 교과 서울시립대학교 수시컷 등급컷 입결 컷 지균 최저 반영 면접,2026. 6. 30.,대입분석,교육·입시정보,https://blog.naver.com/skills_in_math2/224332345344,2544,13,추출
224332345260,2026 서울시립대 수시 서울시립대학교 수시등급 입결 수시컷 학생부종합전형 학종 모집요강,2026. 6. 30.,대입분석,교육·입시정보,https://blog.naver.com/skills_in_math2/224332345260,2320,17,추출
224332341404,2026 한국외대 수시등급 논술 교과 한국외국어대학교 수시컷 등급컷 입결 컷 지균 최저 반영 면접,2026. 6. 30.,대입분석,교육·입시정보,https://blog.naver.com/skills_in_math2/224332341404,4130,14,추출
224332341335,2026 한국외대 수시 한국외국어대학교 수시등급 입결 수시컷 학생부종합전형 학종 모집요강,2026. 6. 30.,대입분석,교육·입시정보,https://blog.naver.com/skills_in_math2/224332341335,6762,21,추출
224332335481,2026 경희대 수시등급 논술 교과 경희대학교 수시컷 등급컷 입결 컷  지균 최저 반영 면접,2026. 6. 30.,대입분석,교육·입시정보,https://blog.naver.com/skills_in_math2/224332335481,824,18,추출
224332320053,2026 경희대 수시 경희대학교 수시등급 입결 수시컷 학생부종합전형 학종 네오 모집요강,2026. 6. 30.,대입분석,교육·입시정보,https://blog.naver.com/skills_in_math2/224332320053,4101,19,추출
224332168635,2026 중앙대 수시등급 논술 교과 중앙대학교 수시컷 등급컷 입결 컷 최저 반영 면접 창의형,2026. 6. 30.,대입분석,교육·입시정보,https://blog.naver.com/skills_in_math2/224332168635,1954,19,추출
224331697626,인근 기출과 FINAL 모의평가 점검 | 중계동 수학학원 수학의기술 고등부 6월 5주차 수업 기록,2026. 6. 30.,은행사거리점(직접 게시),시험분석·대비,https://blog.naver.com/skills_in_math2/224331697626,2436,11,추출
224331663279,일차방정식부터 복소수까지｜중계동 수학학원 수학의기술 중등부 6월 5주차 수업 기록,2026. 6. 30.,은행사거리점(직접 게시),수업·학습관리,https://blog.naver.com/skills_in_math2/224331663279,4553,34,추출
224329597951,2026 중앙대 수시 중앙대학교 수시등급 입결 수시컷 학생부종합전형 학종 지균 모집요강 성장형인재,2026. 6. 28.,대입분석,교육·입시정보,https://blog.naver.com/skills_in_math2/224329597951,4137,19,추출
224329587018,2026 서강대 수시등급 논술 교과 서강대학교 수시컷 등급컷 입결 컷 최저 반영 면접,2026. 6. 28.,대입분석,교육·입시정보,https://blog.naver.com/skills_in_math2/224329587018,2189,14,추출
224329586938,2026 서강대 수시 서강대학교 수시등급 입결 수시컷 학생부종합전형 학종 지균 모집요강,2026. 6. 28.,대입분석,교육·입시정보,https://blog.naver.com/skills_in_math2/224329586938,2027,12,추출
224329566600,2026 한양대 수시등급 논술 교과 한양대학교 수시컷 등급컷 입결 컷 최저 반영 면접,2026. 6. 28.,대입분석,교육·입시정보,https://blog.naver.com/skills_in_math2/224329566600,3139,18,추출
224329559276,2026 한양대 수시 한양대학교 수시등급 입결 수시컷 학생부종합전형 학종 지균 모집요강,2026. 6. 28.,대입분석,교육·입시정보,https://blog.naver.com/skills_in_math2/224329559276,4485,19,추출
224329287424,2026 성균관대 수시등급 논술 교과 성균관대학교 수시컷 등급컷 입결 컷 최저 반영 면접,2026. 6. 28.,대입분석,교육·입시정보,https://blog.naver.com/skills_in_math2/224329287424,3148,21,추출
224329286083,2026 성균관대 수시 성균관대학교 수시등급 입결 수시컷 학생부종합전형 학종 지균 모집요강,2026. 6. 28.,대입분석,교육·입시정보,https://blog.naver.com/skills_in_math2/224329286083,2236,16,추출
224328151171,중계동 수학학원 수학의기술 여름방학 집중반｜늦잠 대신 몰입으로 시작하는 아침 3시간,2026. 6. 26.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224328151171,2963,15,추출
224327474542,2026 고려대 수시등급 논술 교과 고려대학교 수시컷 등급컷 입결 컷 최저 반영 면접,2026. 6. 26.,대입분석,교육·입시정보,https://blog.naver.com/skills_in_math2/224327474542,3432,17,추출
224327420220,2026 고려대 수시 고려대학교 수시등급 입결 수시컷 학생부종합전형 학종 지균 모집요강,2026. 6. 25.,대입분석,교육·입시정보,https://blog.naver.com/skills_in_math2/224327420220,5812,20,추출
224327399167,2026 연세대 수시등급 논술 연세대학교 수시컷 교과 등급컷 입결 컷 최저 반영 면접,2026. 6. 25.,대입분석,교육·입시정보,https://blog.naver.com/skills_in_math2/224327399167,3383,18,추출
224326205376,2026 연세대 수시 연세대학교 수시등급 입결 수시컷 학생부종합전형 학종 지균 모집요강,2026. 6. 24.,대입분석,교육·입시정보,https://blog.naver.com/skills_in_math2/224326205376,3711,17,추출
224326140429,2026 서울대 수시 서울대학교 수시전형 입결 수시컷 학생부종합전형 학종 지균,2026. 6. 24.,대입분석,교육·입시정보,https://blog.naver.com/skills_in_math2/224326140429,7034,23,추출
224325868015,인근 기출부터 6월 모평 분석까지｜수학의기술 고등부 6월 4주차 수업 기록,2026. 6. 24.,은행사거리점(직접 게시),시험분석·대비,https://blog.naver.com/skills_in_math2/224325868015,3158,13,추출
224325763253,"기말고사 앞둔 중등 수학, 6월 4주차에는 무엇을 배웠을까요? | 중계동 수학학원 수학의기술",2026. 6. 24.,은행사거리점(직접 게시),시험분석·대비,https://blog.naver.com/skills_in_math2/224325763253,4082,39,추출
224324442629,"중계동 수학학원 수학의기술, 2학기 현행심화 반배치고사 안내",2026. 6. 23.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224324442629,2343,10,추출
224319613258,중간고사 1등급 성과에 이어 시작하는 고등부 내신대비반 개강 | 중계동 수학학원 수학의기술,2026. 6. 18.,은행사거리점(직접 게시),학습성과·후기,https://blog.naver.com/skills_in_math2/224319613258,3618,19,추출
224317715059,기말고사 앞둔 고등 수학 우리 아이 진도가 궁금하시다면? | 수학의기술 6월 3주차 진도현황,2026. 6. 16.,은행사거리점(직접 게시),시험분석·대비,https://blog.naver.com/skills_in_math2/224317715059,3001,15,추출
224317537190,기말고사 전 중등 수학 점검 포인트｜수학의기술 6월 3주차 진도현황,2026. 6. 16.,은행사거리점(직접 게시),시험분석·대비,https://blog.naver.com/skills_in_math2/224317537190,4776,23,추출
224313039303,2학기 대비 수학 공부는 어떻게 준비해야 할까? | 2026 수학의기술 여름방학 특강,2026. 6. 11.,은행사거리점(직접 게시),모집·개강,https://blog.naver.com/skills_in_math2/224313039303,5675,17,추출
224311731956,중계동 고등수학학원 수학의기술｜6월 2주차 고등부수학 진도현황,2026. 6. 10.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224311731956,3450,17,추출
224311731163,"기말고사 대비, 중등 수학은 어디를 점검해야 할까요? | 중등부 6월 2주차 진도현황",2026. 6. 10.,은행사거리점(직접 게시),시험분석·대비,https://blog.naver.com/skills_in_math2/224311731163,3030,26,추출
224310742080,상위권 학생들은 놓치지 않는 핵심 포인트! | 서라벌고 1학년 수학시험 분석,2026. 6. 9.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224310742080,5071,21,추출
224309491367,상위권 변별 문항에서 드러난 내신대비 포인트 | 2026 영신여고 수학 시험 분석,2026. 6. 8.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224309491367,4050,20,추출
224307152619,중계동 수학학원 수학의기술｜재현고 1학년 중간고사 분석과 내신대비 방향,2026. 6. 5.,은행사거리점(직접 게시),시험분석·대비,https://blog.naver.com/skills_in_math2/224307152619,4776,19,추출
224305758012,중계동 고등수학학원 수학의기술 6월 1주차 고등부 수업 안내,2026. 6. 4.,은행사거리점(직접 게시),수업·학습관리,https://blog.naver.com/skills_in_math2/224305758012,2864,18,추출
224305743382,"중계동 중등 수학 기말고사 대비, 수학의기술 6월 1주차 진도현황",2026. 6. 4.,은행사거리점(직접 게시),시험분석·대비,https://blog.naver.com/skills_in_math2/224305743382,3609,21,추출
224302538746,중계동 수학학원 수학의기술｜1차 심화평가 정기고사 초등부•중등부 시상,2026. 6. 1.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224302538746,2192,29,추출
224297960469,중계동 수학학원 수학의기술 | 중1 과정·초6 심화반 SESSION2 개강 안내,2026. 5. 27.,문의폭주개강소식,모집·개강,https://blog.naver.com/skills_in_math2/224297960469,2549,14,추출
224297163764,📢 중계동 수학학원 수학의기술 5월 4주차 고등부 진도 현황 안내,2026. 5. 26.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224297163764,3311,15,추출
224296974895,📢 중계동 수학학원 수학의기술 5월 4주차 중등부 진도 현황 안내,2026. 5. 26.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224296974895,5093,34,추출
224291603051,[중계동 수학학원] 수학의기술 은행사거리점 SESSION2 개강 안내,2026. 5. 21.,문의폭주개강소식,모집·개강,https://blog.naver.com/skills_in_math2/224291603051,3532,16,추출
224290286513,📢 중계동 수학학원 수학의기술 5월 3주차 고등부 진도 현황 안내,2026. 5. 19.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224290286513,3666,18,추출
224289201167,📢 중계동 수학학원 수학의기술 5월 3주차 중등부 진도 현황 안내,2026. 5. 18.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224289201167,5073,29,추출
224284432797,📢 중계동 수학학원 수학의기술 5월 2주차 고등부 진도 현황 안내,2026. 5. 13.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224284432797,2555,15,추출
224284174255,📢 중계동 수학학원 수학의기술 5월 2주차 중등부 진도 현황 안내,2026. 5. 13.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224284174255,2256,25,추출
224279184938,"수학의기술 데일리브리핑 학습리포트, 학습 흐름을 이렇게 확인합니다!",2026. 5. 8.,소개,수업·학습관리,https://blog.naver.com/skills_in_math2/224279184938,2371,20,추출
224276805392,중계동 수학학원 수업 후 학습 상황을 더 정확하게 전하는 수학의기술 데일리 브리핑,2026. 5. 6.,소개,수업·학습관리,https://blog.naver.com/skills_in_math2/224276805392,2203,15,추출
224276609423,📢 중계동 수학학원 수학의기술 5월 1주차 고등부 진도 현황 안내,2026. 5. 6.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224276609423,2016,13,추출
224276605239,📢 중계동 수학학원 수학의기술 5월 1주차 중등부 진도 현황 안내,2026. 5. 6.,은행사거리점(직접 게시),소개·공지·기타,https://blog.naver.com/skills_in_math2/224276605239,3725,34,추출
224271003981,가천대 정시모집요강 반영비율 2027 가천대학교 입학전형 정시 신입학,2026. 4. 30.,모집요강,교육·입시정보,https://blog.naver.com/skills_in_math2/224271003981,1815,11,추출
224271003899,가천대 학종 교과 수능최저 수시 2027 가천대학교 입학전형 수시모집요강,2026. 4. 30.,모집요강,교육·입시정보,https://blog.naver.com/skills_in_math2/224271003899,1677,14,추출
